Orpha_code	Orphanet_disorder	ICD_10	Relationship
79234	Crigler-Najjar syndrome type 1	E80.5	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
79235	Crigler-Najjar syndrome type 2	E80.5	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
79224	Disorder of purine or pyrimidine metabolism	E79.0	BTNT (ORPHA code's Broader Term maps to a Narrower Term)
79224	Disorder of purine or pyrimidine metabolism	E79.1	BTNT (ORPHA code's Broader Term maps to a Narrower Term)
79224	Disorder of purine or pyrimidine metabolism	E79.8	BTNT (ORPHA code's Broader Term maps to a Narrower Term)
79224	Disorder of purine or pyrimidine metabolism	E79.9	BTNT (ORPHA code's Broader Term maps to a Narrower Term)
79225	Sphingolipidosis	E75.0	BTNT (ORPHA code's Broader Term maps to a Narrower Term)
79225	Sphingolipidosis	E75.1	BTNT (ORPHA code's Broader Term maps to a Narrower Term)
79225	Sphingolipidosis	E75.2	BTNT (ORPHA code's Broader Term maps to a Narrower Term)
79225	Sphingolipidosis	E75.3	BTNT (ORPHA code's Broader Term maps to a Narrower Term)
79183	Disorder of ketolysis	E71.3	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
79186	Disorder of pentose phosphate metabolism	E74.8	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
79189	Peroxisome biogenesis disorder	Q87.8	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
79188	Peroxisomal beta-oxidation disorder	E71.3	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
79175	Disorder of gamma-aminobutyric acid metabolism	E72.8	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
79174	Disorder of fatty acid oxidation and ketone body metabolism	E71.3	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
79177	Gluconeogenesis disorder	E74.4	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
79178	Glucose transport disorder	E74.8	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
79181	Disorder of histidine metabolism	E70.8	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
565624	Combined oxidative phosphorylation defect type 39	E88.8	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
565612	Triglyceride deposit cardiomyovasculopathy	E75.5	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
79201	Glycogen storage disease	E74.0	E (Exact mapping: the two concepts are equivalent)
565641	Primary desmosis coli	K59.8	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
79204	Lipid storage disease	E75.5	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
79204	Lipid storage disease	E75.6	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
79192	Disorder of pyridoxine metabolism	G40.8	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
79196	Disorder of the gamma-glutamyl cycle	E72.8	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
79197	Disorder of branched-chain amino acid metabolism	E71.0	BTNT (ORPHA code's Broader Term maps to a Narrower Term)
79197	Disorder of branched-chain amino acid metabolism	E71.1	BTNT (ORPHA code's Broader Term maps to a Narrower Term)
79197	Disorder of branched-chain amino acid metabolism	E71.2	BTNT (ORPHA code's Broader Term maps to a Narrower Term)
79157	2-methylbutyryl-CoA dehydrogenase deficiency	E71.1	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
79156	Seizures-intellectual disability due to hydroxylysinuria syndrome	E72.3	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
79155	Hydroxykynureninuria	E70.8	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
79154	2-aminoadipic 2-oxoadipic aciduria	E72.3	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
79153	Idiopathic trachyonychia	L60.3	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
79152	Disseminated superficial actinic porokeratosis	Q82.8	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
79151	Acrokeratosis verruciformis of Hopf	Q82.8	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
79150	Linear and whorled nevoid hypermelanosis	L81.4	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
79148	Elastosis perforans serpiginosa	L87.2	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
79147	Familial reactive perforating collagenosis	L87.1	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
79146	Familial progressive hyperpigmentation	L81.4	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
79145	Dowling-Degos disease	L81.8	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
79144	Isolated congenital onychodysplasia	Q84.6	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
79143	Isolated congenital anonychia	Q84.3	E (Exact mapping: the two concepts are equivalent)
79172	Creatine deficiency syndrome	E72.8	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
79173	Disorder of methionine cycle and sulfur amino acid metabolism	E72.1	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
79166	Disorder of amino acid absorption and transport	E72.0	E (Exact mapping: the two concepts are equivalent)
79167	Disorder of urea cycle metabolism and ammonia detoxification	E72.2	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
79159	Isobutyryl-CoA dehydrogenase deficiency	E71.1	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
79107	Developmental malformations-deafness-dystonia syndrome	Q87.8	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
566231	Resistance to thyroid hormone due to a mutation in thyroid hormone receptor alpha	E07.8	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
79106	Eiken syndrome	M85.8	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
566243	Resistance to thyroid hormone due to a mutation in thyroid hormone receptor beta	E07.8	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
79118	Neonatal diabetes-congenital hypothyroidism-congenital glaucoma-hepatic fibrosis-polycystic kidneys syndrome	Q61.1	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
566393	Acute mast cell leukemia	C94.3	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
79113	Mandibulofacial dysostosis-microcephaly syndrome	Q87.0	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
79102	Thyrotoxic periodic paralysis	G72.3	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
79105	Myxofibrosarcoma	C49.9	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
79099	Interstitial granulomatous dermatitis with arthritis	D89.8	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
79098	Sympathetic ophthalmia	H44.1	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
79101	Hyperprolinemia type 2	E72.5	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
566192	Congenital autosomal recessive small-platelet thrombocytopenia	D69.4	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
79100	Atrophoderma vermiculata	L66.4	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
79095	Congenital bile acid synthesis defect type 4	K76.8	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
79094	Grange syndrome	Q87.8	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
79097	Folinic acid-responsive seizures	G40.3	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
79096	Pyridoxal phosphate-responsive seizures	G40.8	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
79138	Bickerstaff brainstem encephalitis	G61.0	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
79139	Japanese encephalitis	A83.0	E (Exact mapping: the two concepts are equivalent)
79140	Cutaneous neuroendocrine carcinoma	C44.6	BTNT (ORPHA code's Broader Term maps to a Narrower Term)
79140	Cutaneous neuroendocrine carcinoma	C44.7	BTNT (ORPHA code's Broader Term maps to a Narrower Term)
79140	Cutaneous neuroendocrine carcinoma	C44.3	BTNT (ORPHA code's Broader Term maps to a Narrower Term)
79141	Hereditary painful callosities	Q82.8	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
79134	DEND syndrome	P70.2	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
79135	Episodic ataxia type 3	G11.8	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
79136	Episodic ataxia type 4	G11.8	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
79137	Generalized epilepsy-paroxysmal dyskinesia syndrome	G40.3	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
79133	Focal facial dermal dysplasia type I	Q82.8	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
79124	Hepatic veno-occlusive disease-immunodeficiency syndrome	K76.5	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
566396	Chronic mast cell leukemia	C94.3	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
79126	Acute interstitial pneumonia	J84.1	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
79127	Respiratory bronchiolitis-interstitial lung disease syndrome	J68.4	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
79128	Lymphoid interstitial pneumonia	J84.1	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
77293	Niemann-Pick disease type B	E75.2	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
77295	Odontoleukodystrophy	E75.2	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
77261	Gaucher disease type 3	E75.2	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
77292	Niemann-Pick disease type A	E75.2	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
77298	Anophthalmia/microphthalmia-esophageal atresia syndrome	Q87.8	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
77299	Microphthalmia-brain atrophy syndrome	Q11.2	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
77296	Morgagni-Stewart-Morel syndrome	M85.2	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
77297	Majeed syndrome	D84.8	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
77300	Auricular abnormalities-cleft lip with or without cleft palate-ocular abnormalities syndrome	Q87.0	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
77301	Monosomy 9q22.3	Q93.5	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
567550	Idiopathic multidrug-resistant nephrotic syndrome	N04.8	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
77828	Genetic obesity	E66.8	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
567548	Idiopathic steroid-resistant nephrotic syndrome	N04.8	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
567546	Idiopathic steroid-sensitive nephrotic syndrome with secondary steroid resistance	N04.8	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
567544	Idiopathic non-lupus full-house nephropathy	N05	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
567552	Idiopathic steroid-resistant nephrotic syndrome with sensitivity to second-line immunosuppressive therapy	N04.8	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
79083	PPARG-related familial partial lipodystrophy	E88.1	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
79078	IgG4-related dacryoadenitis and sialadenitis	K11.8	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
79076	Juvenile polyposis of infancy	D12.6	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
79087	Acquired partial lipodystrophy	E88.1	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
79086	Acquired generalized lipodystrophy	E88.1	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
79085	AKT2-related familial partial lipodystrophy	E88.1	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
79084	Familial partial lipodystrophy, Köbberling type	E88.1	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
567983	Parenteral nutrition-associated cholestasis	K76.8	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
79093	Foix-Alajouanine syndrome	G37.4	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
79091	Hereditary inclusion body myopathy-joint contractures-ophthalmoplegia syndrome	G71.8	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
79088	Localized lipodystrophy	E88.1	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
75327	North Carolina macular dystrophy	H35.5	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
75374	Bradyopsia	H53.8	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
75376	Familial drusen	H35.5	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
75377	Central areolar choroidal dystrophy	H31.2	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
75381	Cystoid macular dystrophy	H35.5	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
75382	Oguchi disease	H53.6	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
75389	Brain malformation-congenital heart disease-postaxial polydactyly syndrome	Q87.8	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
566841	Liver adenomatosis	D13.4	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
75391	Primary immunodeficiency with natural-killer cell deficiency and adrenal insufficiency	D84.8	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
75392	Periodontal Ehlers-Danlos syndrome	Q79.6	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
75496	B4GALT7-related spondylodysplastic Ehlers-Danlos syndrome	Q79.6	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
75497	X-linked Ehlers-Danlos syndrome	Q79.6	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
75563	X-linked sideroblastic anemia	D64.0	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
75565	Tropical endomyocardial fibrosis	I42.3	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
75564	Acquired idiopathic sideroblastic anemia	D64.3	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
75567	Primary progressive freezing gait	G31.8	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
75566	Loeffler endocarditis	I42.3	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
75857	6q terminal deletion syndrome	Q93.5	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
75840	Congenital muscular dystrophy, Ullrich type	G71.2	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
77240	Primary lymphedema	I89.0	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
77258	Trichorhinophalangeal syndrome type 1 and 3	Q87.1	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
77243	NON RARE IN EUROPE: Lipedema	E88.2	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
77260	Gaucher disease type 2	E75.2	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
77259	Gaucher disease type 1	E75.2	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
73271	Bleeding diathesis due to a collagen receptor defect	D69.8	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
73263	Zygomycosis	B46.0	BTNT (ORPHA code's Broader Term maps to a Narrower Term)
73263	Zygomycosis	B46.1	BTNT (ORPHA code's Broader Term maps to a Narrower Term)
73263	Zygomycosis	B46.2	BTNT (ORPHA code's Broader Term maps to a Narrower Term)
73263	Zygomycosis	B46.3	BTNT (ORPHA code's Broader Term maps to a Narrower Term)
73263	Zygomycosis	B46.4	BTNT (ORPHA code's Broader Term maps to a Narrower Term)
73263	Zygomycosis	B46.5	BTNT (ORPHA code's Broader Term maps to a Narrower Term)
73263	Zygomycosis	B46.8	BTNT (ORPHA code's Broader Term maps to a Narrower Term)
73263	Zygomycosis	B46.9	BTNT (ORPHA code's Broader Term maps to a Narrower Term)
73267	Non-24-hour sleep-wake syndrome	G47.2	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
73260	Paracoccidioidomycosis	B41.8	BTNT (ORPHA code's Broader Term maps to a Narrower Term)
73260	Paracoccidioidomycosis	B41.9	BTNT (ORPHA code's Broader Term maps to a Narrower Term)
73260	Paracoccidioidomycosis	B41.0	BTNT (ORPHA code's Broader Term maps to a Narrower Term)
73260	Paracoccidioidomycosis	B41.7	BTNT (ORPHA code's Broader Term maps to a Narrower Term)
73246	Visceral neuropathy-brain anomalies-facial dysmorphism-developmental delay syndrome	Q87.8	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
73423	Acute ackee fruit intoxication	T62.2	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
73272	Growth delay due to insulin-like growth factor type 1 deficiency	E34.3	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
73273	Growth delay due to insulin-like growth factor I resistance	E34.3	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
75326	Retinal arterial tortuosity	H35.8	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
75249	Familial isolated restrictive cardiomyopathy	I42.5	E (Exact mapping: the two concepts are equivalent)
75234	Cholesteryl ester storage disease	E75.5	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
75233	Wolman disease	E75.5	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
75110	Myiasis	B87.0	BTNT (ORPHA code's Broader Term maps to a Narrower Term)
75110	Myiasis	B87.1	BTNT (ORPHA code's Broader Term maps to a Narrower Term)
75110	Myiasis	B87.2	BTNT (ORPHA code's Broader Term maps to a Narrower Term)
75110	Myiasis	B87.3	BTNT (ORPHA code's Broader Term maps to a Narrower Term)
75110	Myiasis	B87.4	BTNT (ORPHA code's Broader Term maps to a Narrower Term)
75110	Myiasis	B87.8	BTNT (ORPHA code's Broader Term maps to a Narrower Term)
75110	Myiasis	B87.9	BTNT (ORPHA code's Broader Term maps to a Narrower Term)
71290	Familial platelet disorder with associated myeloid malignancy	D69.4	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
71493	Familial thrombocytosis	D68.8	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
71505	Cancer-associated retinopathy	H35.8	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
71289	Radio-ulnar synostosis-amegakaryocytic thrombocytopenia syndrome	Q87.2	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
71526	Obesity due to pro-opiomelanocortin deficiency	E66.8	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
71528	Obesity due to prohormone convertase I deficiency	E66.8	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
71529	Obesity due to melanocortin 4 receptor deficiency	E66.8	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
569164	Angiomatoid fibrous histiocytoma	D21.9	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
71517	Rapid-onset dystonia-parkinsonism	G24.1	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
71518	Benign paroxysmal torticollis of infancy	G24.3	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
71519	Psychogenic movement disorders	F44.4	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
569274	Multiple mitochondrial dysfunctions syndrome type 5	E88.8	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
569290	Multiple mitochondrial dysfunctions syndrome type 6	E88.8	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
569248	Microcystic stromal tumor	D27	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
73229	HANAC syndrome	I99	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
73224	Tubular renal disease-cardiomyopathy syndrome	N25.8	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
73245	Spinal muscular atrophy-Dandy-Walker malformation-cataracts syndrome	G12.8	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
73230	Ossification anomalies-psychomotor developmental delay syndrome	Q79.8	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
73223	Global developmental delay-osteopenia-ectodermal defect syndrome	Q87.8	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
40366	Acitretin/etretinate embryopathy	Q86.8	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
40923	Eales disease	H35.0	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
39812	Graft versus host disease	T86.0	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
530849	Familial apolipoprotein A5 deficiency	E78.3	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
39041	Omenn syndrome	D81.8	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
39044	Uveal melanoma	C69.3	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
530792	RELA fusion-positive ependymoma	C71.0	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
38874	Dihydropyrimidinuria	E79.8	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
37748	Schnitzler syndrome	L50.8	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
530303	Progressive dementia with neuroserpin inclusion bodies	G40.3	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
37612	Episodic ataxia type 1	G11.8	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
37559	Acquired kinky hair syndrome	L67.8	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
530298	Progressive myoclonic epilepsy with neuroserpin inclusion bodies	G40.3	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
37553	Andersen-Tawil syndrome	G72.3	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
37202	Interstitial cystitis	N30.1	E (Exact mapping: the two concepts are equivalent)
37042	Immune dysregulation-polyendocrinopathy-enteropathy-X-linked syndrome	E31.0	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
36913	Autoimmune hypoparathyroidism	E20.8	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
36899	Myoclonus-dystonia syndrome	G24.1	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
68356	Leukodystrophy	E75.2	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
531151	9q21.13 microdeletion syndrome	F78.1	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
530995	Mixed phenotype acute leukemia	C95.0	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
41751	Bietti crystalline dystrophy	H15.5	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
42062	Iminoglycinuria	E72.0	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
35705	Neurometabolic disorder due to serine deficiency	E72.8	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
35706	Glutaric acidemia type 3	E72.3	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
35704	L-Arginine:glycine amidinotransferase deficiency	E72.8	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
35710	Glucose-galactose malabsorption	E74.3	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
35737	Morning glory disc anomaly	Q14.2	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
35708	Aromatic L-amino acid decarboxylase deficiency	G24.8	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
35689	Primary lateral sclerosis	G12.2	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
35701	3-hydroxy-3-methylglutaryl-CoA synthase deficiency	E71.3	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
35612	Nanophthalmos	Q11.2	E (Exact mapping: the two concepts are equivalent)
35173	X-linked dominant chondrodysplasia punctata	Q77.3	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
35687	Erdheim-Chester disease	D76.3	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
35686	Serpiginous choroiditis	H30.8	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
35664	ALDH18A1-related De Barsy syndrome	Q87.8	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
35120	Hemolytic anemia due to pyrimidine 5' nucleotidase deficiency	D55.3	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
35107	Desmosterolosis	Q87.8	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
35099	Isolated brachycephaly	Q75.0	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
35098	Isolated plagiocephaly	Q67.3	E (Exact mapping: the two concepts are equivalent)
35125	Epidermal nevus syndrome	Q85.8	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
35122	Congenital sucrase-isomaltase deficiency	E74.3	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
35121	Lysosomal acid phosphatase deficiency	E83.3	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
36387	Generalized epilepsy with febrile seizures-plus	G40.3	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
36397	Adiposis dolorosa	E88.2	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
36412	Hypocomplementemic urticarial vasculitis	M31.8	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
36426	Stevens-Johnson syndrome	L51.1	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
36355	Bleeding disorder due to P2Y12 defect	D69.8	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
36367	Distal monosomy 1q	Q93.5	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
36382	Familial cervical artery dissection	I72.0	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
36382	Familial cervical artery dissection	I72.5	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
36383	COL4A1-related familial vascular leukoencephalopathy	I67.8	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
36386	Hereditary sensory and autonomic neuropathy type 1	G60.8	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
36234	Bacterial toxic-shock syndrome	A48.3	E (Exact mapping: the two concepts are equivalent)
36236	Staphylococcal scalded skin syndrome	L00	E (Exact mapping: the two concepts are equivalent)
36235	Staphylococcal scarlet fever	A38	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
36238	Staphylococcal necrotizing pneumonia	J15.2	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
36237	Bullous impetigo	L01.0	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
36273	Gastric linitis plastica	C16.9	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
36258	Buerger disease	I73.1	E (Exact mapping: the two concepts are equivalent)
35808	Malignant sex cord stromal tumor of ovary	C56	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
35807	Malignant germ cell tumor of ovary	C56	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
35878	Hyperinsulinism-hyperammonemia syndrome	E72.8	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
35858	Imerslund-Gräsbeck syndrome	D51.1	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
35909	Combined deficiency of factor V and factor VIII	D68.8	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
35889	Acute opioid poisoning	T40.0	BTNT (ORPHA code's Broader Term maps to a Narrower Term)
35889	Acute opioid poisoning	T40.1	BTNT (ORPHA code's Broader Term maps to a Narrower Term)
35889	Acute opioid poisoning	T40.2	BTNT (ORPHA code's Broader Term maps to a Narrower Term)
36204	Intestinal lymphangiectasia	I89.0	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
35981	Polymicrogyria	Q04.3	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
33572	5-oxoprolinase deficiency	E72.8	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
33543	Kleine-Levin syndrome	G47.8	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
33475	Meningococcal meningitis	G01*	E (Exact mapping: the two concepts are equivalent)
33475	Meningococcal meningitis	A39.0+	E (Exact mapping: the two concepts are equivalent)
33445	Neuroectodermal melanolysosomal disease	L81.4	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
33408	Bullous lichen planus	L43.1	E (Exact mapping: the two concepts are equivalent)
535458	Familial GPIHBP1 deficiency	E78.3	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
33402	Pediatric hepatocellular carcinoma	C22.0	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
34217	Naxos disease	Q87.8	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
34149	Autosomal dominant tubulointerstitial kidney disease	Q61.5	E (Exact mapping: the two concepts are equivalent)
33577	Nodular non-suppurative panniculitis	M35.6	E (Exact mapping: the two concepts are equivalent)
33574	Glutamate-cysteine ligase deficiency	D55.1	NTBT (ORPHA code's Narrower Term maps to a Broader Term)
